# The Future Indefinite Tense
I'll see you soon|Скоро увидемся
Will you ever learn to listen to your parents?|Ты когда-нибудь научишься слушать своих родителей?
I wouln't help you if you don't calm down|Я тебе не буду помогать если ты не успокоешься
He will need another pair of winter gloves|Ему понадобится ещё одна пара зимних перчаток
Someday we will all find happiness|Когда-нибудь мы все найдём своё счастье
Son, come here, I need to talk to you|Сынок, подойди сюда, мне нужно с тобой поговорить
I've got a call from the school principal today|Мне сегодня звонил директор школы

# The Past Continuous Tense
I was just leaving when he came inside|Я как раз уходила когда он вошёл
He was starting to get scared|Он начинал боятся
They were truly living their life to the fullest those days|В те дни они по-настоящему жили полной жизнью
Were we reading it together, remember?|Мы её вместе читали, помнишь?
Was it living in that cave all that time?|Он всё это время жил в той пещере?

# Modal auxiliareies
You should have come earlier|Тебе следовало бы прийти раньше.
Must you always interrupt me?|Тебе обязательно пстоянно меня перебивать?
Can I get some help here?|Мне кто-нибудь поможет?
I could get you some juice|Я мог бы принести тебе соку
I would like to thank everyone for coming|Я бы хотел поблагодарить всех за то что пришли

# Time and Condition Clauses – Придаточные предложения условия и времени
She'll get lost when the night comes|Она заблудится когда настанет ночь
Before you enter your name, please read the agreement|Перед тем как вы введёте своё имя, пожалуйста прочитайте соглашение
Will you buy me an ice cream if i go out with you?|Ты купишь мне мороженное если я пойду с тобой гулять?
What will you do when you finally graduate?|Что ты сделаешь когда ты наконец закончишь школу?
As soon as I finish dinner, I will help you with your homework|Как только я закончу ужинать, я помогу тебе с домашней работой

# Other
By then he had already left the building|К тому времени он уже покинул здание
She thought he had bought the bread|Она думала что он купил хлеб
He is always ready to be cooperative|Он всегда готов сотрудничать
He is capable of working fast|Он умеет работать быстро
He always tries to avoid conflict at all costs|Он всегда пытается всеми силами избежать конфликта
He doesn’t  know how to stand up for his rights|Он не умеет постоять за свои права
He would never encourage any conflict|Он никогда не будет способствовать возникновению конфликта
He would always deal with the conflict openly and honestly|В случае конфликта его поведение всегда будет честным
He has respect for himself and others|Он человек, который уважает и себя, и других
He is always suspicious of strangers|Незнакомые люди всегда вызывают у него подозрение
He has got composed manners|Он ведет себя очень сдержанно
He is a self-righteous man|Он очень самоуверенный человек
