abandon|оставлять, покидать|q'bxndqn
accept|принимать, признавать, соглашаться|qk'sept
accomplish|выполнять, завершать|q'kAmplIS
accumulate|накапливать, аккумулировать|q'kju:mjuleIt
achieve|достигать, добиваться|q'CJv
act|действовать, поступать |xkt
adapt|приспособить, адаптировать|q'dxpt
add|прибавлять, добавлять|xd
address|адресовать, направлять|q'dres
administer|управлять, вести дела, назначать|qd'mInIstq
admit|признавать, допускать, впускать|q'dmIt
adopt|принимать, усыновлять, удочерять|q'dPpt
adore|обожать, поклоняться|q'dL
advance|продвигаться|qd'vRns
advise|советовать|qd'vaIz
affirm|подтверждать, утверждать|q'fE:m
agree|соглашаться|q'gri:
aid|помогать, оказывать помощь|eId
allow|позволять, разрешать|q'lau
amuse|развлекать|q'mju:z
analyse|анализировать|'xnqlaIz
anounce|объявлять, заявлять|q'nauns
answer|отвечать|'Rnsq
apologize|извиняться|q'pPlqGaIz
appear|появляться|q'pIq
approach|подходить, приближаться|q'prquC
argue|спорить|'Rgju:
arrive|прибывать, приезжать|q'raIv
ask|спрашивать|Rsk
assist|помогать|q'sIst
awake|будить|q'weIk
award|награждать|q'wLd
back|поддерживать|bxk
bake|выпекать|beIk
balance|балансировать|'bxlqns
ban|запрещать|bxn
bandage|бинтовать|'bxndIG
bang|ударить|bxN
be|быть, находится|bJ
bear|терпеть, выносить|beq
become|становится, превращаться|bI'kAm
beg|просить|beg
begin|начинать|bI'gIn
behave|вести себя|bI'heIv
belive|верить|bI'lJv
belong|принадлежать|bI'lPN
benefit|приносить пользу; извлекать пользу|'benqfIt
bet|держать пари|bet
bite|кусать, жалить|baIt
bless|благословлять|bles
blow|дуть, раздувать|blqu
boast|похвастаться|bqust
book|бронировать, заказывать|buk
break|ломать, прерывать|breIk
bring|приносить, приводить|brIN
brush|чистить щеткой|brAS
care|заботиться|keq
carry|носить|'kxri
catch|поймать, схватить|kxC
cause|вызывать, причинять|kLz
celebrate|праздновать, отмечать|'selIbreIt
change|менять, изменять|CeInG
choose|выбирать|CHz
clean|очищать|klJn
climb|взбираться, влезать|klaIm
close|закрывать|klquz
come|приходить, приезжать|kAm
compare|сравнивать|kqm'peq
complain|жаловаться|kqm'pleIn
conceal|скрывать, прятать|kqn'sJl
consider|рассматривать, обдумывать|kqn'sIdq
copy|копировать|'kPpi
cross|пересекать|krPs
cut|резать|kAt
dance|танцевать|dRns
decide|решать|dI'saId
decorate|украшать, декорировать|'dekqreIt
defend|защищать|dI'fend
deny|отрицать, отвергать|dI'naI
depend|зависеть|dI'pend
describe|описывать, изображать|dI'skraIb
destroy|уничтожить|dI'strOI
determine|определять|dI'tE:mIn
disappear|исчезать, скрываться|"dIsq'pIq
discover|открывать, делать открытие|dIs'kAvq
divide|разделить|dI'vaId
do|делать|dH
doubt|сомневаться|daut
draw|рисовать; тащить, волочить|drL
drive|вести, водить|draIv
drop|ронять |drPp
earn|зарабатывать|E:n
elect|выбирать, избирать|I'lekt
end|заканчивать|end
enjoy|получать удовольствие|In'GOI
enter|вступать в, входить в|'entq
estimate|оценивать|'estImeIt
examine|проверить, экзаменировать|Ig'zxmIn
exchange|менять, обменивать|Iks'CeInG
exclaim|восклицать|Ik'skleIm
excuse|извинять, прощать|Ik'skju:z
expect|ожидать|Ik'spekt
explain|объяснять|Ik'spleIn
face|стоять/сидеть лицом к |feIs
fail|проваливаться, терпеть неудачу|feIl
fall|падать|fLl
fetch|принести, привести|feC
fight|сражаться|faIt
finish|завершать|'fInIS
fly|летать|flaI
follow|следовать|'fPlqu
forget|забывать|fq'get
forgive|прощать, простить|fq'gIv
fulfil|выполнять, исполнять|ful'fIl
gain|получать; приобретать|geIn
gather|собирать, созывать|'gxDq
get|получать, доставать|get
give|давать, дарить|gIv
go|идти, ходить, ехать, лететь, плыть|gqu
graduate|окончить (ВУЗ....)|'grxGueIt
greet|приветствовать, кланяться|grJt
grow|расти|grqu
guarantee|гарантировать|"gxrqn'tJ
guess|отгадывать|ges
