абажур|lampshade, shade
аббат|abbot
аббатство|abbey
Абердин|Aberdeen
абердинец|Aberdonian
абзац|indentation, paragraph
абитуриент|applicant
абонемент|season ticket
абонент|subscriber
абориген|aborigine
аборт|abortion
абразивный|abrasive
абрикос|apricot
абсолютно|outright
абсолютный|absolute, odds-on, outright
абстрактный|abstract
абсурдность|absurdity
абсцесс|abscess
авангардистский|avant-garde
аванпост|outpost
аванс|subsistence allowance
авария|smash, wreck
август|August
авиабаза|air base
авиагруз|air freight
авиакомпания|airline
авианосец|aircraft carrier
авиапочта|air mail
авиация|aviation
авитаминоз|deficiency disease
авокадо|avocado
австралиец|Australian
Австралия|Australia
австриец|Austrian
Австрия|Austria
авто|auto
автобиографический|autobiographical
автобиография|autobiography, curriculum vitae, resume
автобус|bus, motorcoach
автогонки|motor racing
автократический|autocratic
автократия|autocracy
автолавка|mobile shop
автомагистраль|motorway
автомат|automat, automaton, submachine gun, vending machine
автоматизация|automation
автоматизированный|automated
автоматизировать|automate
автоматически|automatically
автомашина|motor vehicle, motorized
автомобилист|motorist
автомобиль|automatic, automobile, car, motorcar
автомобильный|motor
автономный|autonomous, stand-alone
автоответчик|answering machine
автопортрет|self-portrait
автоприцеп|trailer
автор|author, contributor
авторалли|rally
авторитарный|authoritarian
авторитет|authority, credibility
авторитетный|authoritative
авторство|authorship
автостоянка|car park
автострада|highway, motorway
автотранспорт|motorized
автошкола|driving school
агатовый|jet-black
агент|agent, promoter
агентство|dealership
агитатор|agitator, canvasser
агитация|electioneering
агломерация|conurbation
агностик|agnostic
агрессивность|aggressiveness
агрессивный|aggressive
агрессия|aggression
агрессор|aggressor
ад|hell, inferno
адаптация|adjustment
адаптироваться|adapt
адвокат|barrister, lawyer, solicitor
адекватно|adequately
адекватность|adequacy
аденоиды|adenoids
административный|administrative
администратор|administrator
администрация|administration
адмирал|admiral
адмиралтейство|Admiralty
адреналин|adrenalin
адрес|address
адресат|addressee
адресовать|address
Адриатика|Adriatic
адский|infernal
адъютант|adjutant, aide-de-camp
ажиотаж|hype
ажурная|doily
азалия|azalea
аздотимидин|AZT
Азербайджан|Azerbaijan
азербайджанец|Azerbaijani
азербайджанский|Azerbaijani
азиатский|Asiatic
Азия|Asia
азот|nitrogen
аист|stork
айва|quince
айсберг|iceberg
академический|academic, scholarly
академия|academy
акваланг|aqualung, scuba
аквалангист|skin-diver
акваплан|surf board
акварель|watercolour
аквариум|aquarium, tank
акведук|aqueduct
акклиматизироваться|naturalize
аккомпанемент|accompaniment
аккомпаниатор|accompanist
аккомпанировать|accompany
аккордеон|accordion, piano accordion
аккредитив|L/C, letter of credit
аккредитованный|accredited
аккумулятор|battery
аккуратно|neatly, tidily
аккуратность|neatness, tidiness
аккуратный|accurate, neat
акр|acre
акрил|acrylic
акробат|acrobat
акробатика|acrobatics
акробатический|acrobatic
Акрополь|Acropolis
Аксессуары|accessory
аксиома|axiom
аксиоматичный|axiomatic
акт|act
актёр|actor
активировать|activate
активно|actively
активность|activity
активный|active
активы|asset
актриса|actress
актуальность|relevance
актуальный|topical
актуарий|actuary
акула|shark
акустика|acoustics
акустический|acoustic
акушерка|midwife
акушерство|midwifery, obstetrics
акцент|accent
акционер|shareholder, stockholder
албанец|Albanian
Албания|Albania
алгебра|algebra
алгоритм|algorithm
алебастр|alabaster
Александрия|Alexandria
Алжир|Algeria, Algiers
алжирец|Algerian
алиби|alibi
алименты|alimony, maintenance
алкоголизм|alcoholism
алкоголик|alcoholic
алкоголь|alcohol
аллегория|allegory
аллергический|allergic
аллергия|allergy
аллея|avenue
аллигатор|alligator
аллитерация|alliteration
алло|hello
аллювий|alluvium
аллюзия|allusion
алтарь|altar
алфавит|alphabet
алфавитный|alphabetical
алхимия|alchemy
алчность|avarice, cupidity
алчный|avaricious
алый|scarlet
альбатрос|albatross
альбом|album
альков|alcove
альпинизм|mountaineering
альпинист|mountaineer
Альпы|Alps
альт|alto, viola
альтернатива|alternative
альтернативная|alternative medicine
альтруизм|altruism
альтруистический|altruistic
альтруистичный|altruistic
альянс|alignment, alliance
алюминий|aluminium
аляповатый|lurid
Аляска|Alaska
Амазонка|Amazon
амазонский|Amazonian
амальгама|amalgam
амбар|barn, granary
амбициозный|ambitious
амбиция|ambition
амёба|amoeba
Америка|America
американизировать|americanize
аметист|amethyst
аминь|amen
аммиак|ammonia
амнистия|amnesty
аморальность|immorality
амортизатор|shock absorber, suspension
амортизация|amortization
аморфный|amorphous
ампер|amp(ire)
амперметр|ammeter
ампула|ampoule
ампутация|amputation
ампутировать|amputate
Амстердам|Amsterdam
амфетамин|amphetamine
амфибийный|amphibious
амфитеатр|amphitheatre
анаграмма|anagram
анализ|analysis, test
