а именно|as follows
а не потому что|not because
а не раньше|rather than before
а не|rather then
а также и|as well as
а также|as well as
а/о|j/c
а/я|p.o.box
аарон|aaron
абажур|lampshade
абандон|abandonment
аббат|abbot
аббатиса|abbess
аббатство|abbey
абботт|abbott
аббревиатура|abbreviation
аберрация|abberration
абзац|paragraph
абигайль|abigail
абиджан|abidjan
абилен|abilene
абингтон|abington
абитуриент|applicant
абляут|ablaut
абнер|abner
аболиционизм|abilitionism
аболиционист|abolitionist
абонемент|subscription
абонент|abonent;subscriber(подписчик)
абонентский линия|customer line
абонентский|customer
абордаж|boarding
абориген|aborigine
аборт|abortion
абортивный|abortive
абразив|abrasive
абразивность|abrasion
абразивный|abrasive
абракадабра|abracadabra
абрам|abram
абрахам|abraham
абрикос|apricot
абрикосовый|apricot
абсент|absinthe
абсолютизм|absolutism
абсолютист|absolutist
абсолютистский|absolutist
абсолютно|absolutely
абсолютный слух|absolute pitch
абсолютный|absolute
абсорбент|absorbent
абсорбировать|absorb
абсорбирующий|absorbing
абсорбция|absorption
абстрагировать|abstract
абстрактно|in abstract
абстрактность|abstractiveness
абстрактный|abstract
абстракционизм|abstract art
абстракционист|abstract artist
абстракция|abstraction
абсурд|absurdity
абсурдный|absurd
абсцесс|abscess
абсцисса|abscissa
абхаз|abkhaz
абхазка|abkhaz
абхазский|abkhazian
авалист|surety on a bill
аваль|aval
авангард|vanguard;avant-gard(в живописи)
авангардизм|avant-gardism
авангардист|avant-gardist
авангардисткий|avant-gard
аванзал|anteroom
аванпост|outpost
аванс в счет векселей|advance against bills
аванс в счет платежей|payment on account
аванс в счет|wadvanceagainst
аванс|advance
авансирование|advance
авансировать|advance
авансовый|advance
авансом|in advance
авансцена|proscenium
авант|avant
авантюра|adventure
авантюризм|adventurism
авантюрист|adventurer
авантюристический|adventuristic
авантюристка|adventuress
авантюрный|risky
авар|avar
аварец|avar
аварийно завершать|abort
аварийность|accident rate
аварийный агрегат|emergency set
аварийный акт|survey report
аварийный бригада|crash crew
аварийный дамп|postmortem dump
аварийный завершение работы|disorderly close-down
аварийный затрата|accident expense
аварийный машина|tow truck;wrecker
аварийный обслуживание|emergency maintenance
аварийный переход|fallback
аварийный ремонт|first-aid
аварийный сброс|emergency release
аварийный ситуация|emergency;disaster
аварийный условие|fault condition
аварийный эксплуатация|emergency service
аварийный|emergency
авария|damage;accident
аварка|avar
аварский|avar
авгиевы конюшни|augean stables
авгиевы|augean
авгур|augur
август|august
августин|augustine
августовский|august
авеню|avenue
авиабаза|airbase
авиабилет|plane ticket
авиагрузовой накладная|airway bill
авиагрузовой|airway
авиакомпания|air company;airline
авиаконструктор|aircraft designer
авиакосмический|aerospace
авиалиния|airway
авиамодель|model airplane
авианка|avianca
авианосец|aircraft carrier
авиаперевозчик|aircarrier
авиапочта|airmail
авиатехника|aerotechnics
авиатор|airman
авиаторпеда|air-torpedo
авиатранспорт|air transport
авиатрасса|air route
авиафрахт|airfreight
авиационный оборудование|avionics
авиационный перевозка|air transportation
авиационный|aircraft;aeronautical
авиация противника|enemy aircraft
авиация|aviation;aircraft
авиачасть|air-unit
авизо о платеже|wnotification of payment
авизо о|wnotificationof
авизо об открытии аккредитива|wnotification of a letter of credit
авизо об|wnotificationof
авизо|advice
авикомп|avicomp
авис|avis
авнет|avnet
авокадо|avocado
авондэйл|avondale
авось|maybe;perhaps
авоська|string bag
аврал|rush job
аврора|aurora
австралиец|australian
австралийка|australian
австралийский|australian
австралия|australia
австриец|austrian
австрийка|austrian
австрийский|austrian
австрия|austria
автаркия|autarchy
авто|aauto
автобаза|motor transport depot
автобиографическй|autobiographical
автобиографичный|autobiographical
автобиография|autobiography
автобус|bus
автобусный|bus
автовокзал|bus terminal
автогенератор|free-running oscillator
автограф|autograph
автодекремент|autodecrement
автодекрементный|autodecremental
автодиагностика|autodiagnostics
автодиагностический|autodiagnostics
автодром|speedway
автожир|autogiro
автозавод|automobile factory
автозагрузка|autothread
автозаправочный станция|gas station
автозаправочный|filling
автоиндекс|autoindex
автоинкремент|autoincrement
автоинкрементный|autoincremental
автокар|self-propelled cart
автокод|autocode
автокодер|autocoder
автокоммутация|autopatch
автокомпенсация|autoequalization
автокомпилятор|autopiler
автоконтроль|self-control
автокорректировка|autopatch
автокоррекция|self-correction
автокоррелированный|autocorrelated
автокоррелятор|autocorrelator
автокорреляция|autocorrelation
автократ|autocrat
автократический|autocratic
автократия|autocracy
автол|motor oil
автомагистраль|superhighway
автомагический|automagical
автомасштабирование|self-scaling
автомат|automaton;robot;tommy gun;one-armed bandit(игровой)
автоматизация делопроизводства|office automation
автоматизация|automation
автоматизированный проектирование|computer aided design
автоматизированный производство|cam
автоматизированный работа|unattended operation
автоматизированный|automatedautomatic
автоматизировать|automate
автоматика|automation;automatics
автоматически|automatically
автоматический выбор масштаба|auto scaling
автоматический вызов|auto call
автоматический графопостроитель|auto plotter
автоматический действие|self-action
автоматический журнал|logger
автоматический индексирование|autoindexing
автоматический контроль|hardware check
автоматический линия|automatic transfer line
автоматический обработка данных|adp
автоматический переключение|keying
автоматический перенос|hyphenation
автоматический подчеркивание|autoscore
автоматический прачечная|laundromat
автоматический реферат|computer abstract
автоматический составление писем|mail merge
автоматический телефонный станция|dial exchange
автоматический управление|autocontrol
автоматический установка нуля|autozeroing
автоматический|automatic
автоматчик|machine gunner
автомашина|motor vehicle
автомобилестроение|autoindustry
автомобилестроительный|auto
автомобилист|motorist
автомобиль|car
автомобильный|car
автомодель|automodel
автомодельный|automodel
автомонитор|automonitor
автоморфизм|automorphism
автонабор|autodialer;typeset
автономия|autonomy
автономность|autonomy
автономный режим|local mode
автономный система|isolated system
автономный|autonomous
автоопрос|autopolling
автоответ|autoanswer
автоответчик|answerback
автоперевозка|carriage by road
автопилот|automatic pilot
автоподача страниц|cut sheet feeder
автоподача|feeder
автоподстройка|automatic turning
автопоезд|truck convoy
автопортрет|self-portrait
автор|author
авторазвертка|self-scanning
авторазгрузка|autodump
авторегрессия|autoregression
авторестарт|autorestart
автореферат|abstract
авторизовать|authorize
авторитарный|authoritarian
авторитет|authority;prestige
авторитетный орган|competent authorities
авторитетный специалист|competent authority
авторитетный|authoritative
авторский гонорар|royalty
авторский заявка|copyright applications
авторский право|copyright
авторский|author's
авторство|authorship;copyrightability
авторучка|fountain-pen
автострада|speedway
автотранспорт|motor transport
автофакс|autofax
авуары|holdings
ага|aha
агава|agave
агар|agar
агат|agate
агата|agatha
агатовый|agate
агвей|agway
агглютинативный|agglutinative
агглютинация|agglutination
агент бюро путешествий|travel agent
агент по закупкам|purchasing agent
агент по покупке|purchase agent
агент по продаже недвижимости|realtor
агент по рекламе|publicity agent
агент|agent
агентский|agent
агентство по охране окружающей среды|epa
агентство|agency
агиография|hagiography
агитатор|political agitator
агитационный|agitation;propoganda
агитация|propoganda
агитировать за|wagitate for
агитировать|agitate
агитка|piece of art propoganda
агитпункт|election compaign centre
агнец|lamb
агностик|agnostic
агностицизм|agnosticism
агностический|agnostic
агония|agony
аграрный|agrarian
агрегат|unit;set
агрегация|aggregation
агрессивность|aggressiveness
агрессивный|aggressive
агрессия|aggression
агрессор|aggressor
агроном|agronomist
агрономический|agronomic
агрономия|agronomy
агрохимический|agricultural chemistry
агрохимия|agricultural chemistry
ад|hell;inferno
адажио|adagio
адалайн|adaline
адам|adam
адамово яблоко|adam's apple
адамово|adam's
адамс|adams
адаптация|adaptation;g)adapting
адаптер|adapter
адаптерный|adapter
адаптивность|adaptability
адаптивный|adaptive
адаптированный|adapted
адаптировать|adapt
адаптирующийся|adaptable
адвокат|attorney;lawyer
адвокатский|attorney
адвокатура|bar
адгезография|adherography
адда|adda
аддис|addis
аддисон|addison
аддитивность|additivity
адекватно|adequately
адекватность|adequacy
адекватный перевод|one-for-one translation
адекватный|identical
аделаида|adelaide
адель|adele
аденоид|adenoid
адепт|adherent;follower
адиабатически|adiabatically
адиабатический|adiabatic
адлер|adler
адман|adman
административный здание|office building
административный мера безопасности|administrative security
административный мера|administrative method
административный обязанность|executive duties
административный орган|administrative authorities
административный работа|staff work
административный функция|administrative duties
административный|administrative
администратор|manager
администрация|administration;management
администрировать|administer;manage
адмирал флота|wadmiral of the fleet
адмирал|admiral
адмиралтейство|admiralty
адмиральский|admiral's
адольф|adolph
адреналин|adrenaline
адрес для пересылки|forwarding address
адрес фирмы|wplace of business
адрес|address
адресат оферты|offeree
адресат|addressee;destination
адресация|addressing
адресность|addressness
адресный книга|directory
адресный стол|address bureau
адресный|address
адресованный самому себе|self-addressed
адресованный|addressed
адресовывать на|wtargetat
адресовывать письмо|wdirect a letter
адресовывать|address
адресуемость|addressability
адресуемый|addressed
адриан|adrian
адриатический|adriatic
адский|infernal;hellish
адсорбировать|adsorb
адсорбция|adsorption
адъективный|adjectival
адъюнкт|adjunct
адъюнкт-профессор|associate professor
адъютант|adjutant;aide-de-camp
адыгеец|adygei
адыгейка|adygei
адыгейский|adygei
ажио|agio
ажиотаж|agiotage
ажурный работа|openwork
ажурный строчка|hemstitch
ажурный|open-work
азалия|azalea
азарт|zeal;ardor;fervor
азартный игра|gambling
азартный|ardent;reckless
азбука морзе|morse code
азбука|abc
азбучный истина|truism
азбучный|alphabetical
азербайджан|azerbaijan
азербайджанец|azerbaijani
азербайджанка|azerbaijani
азербайджанский|azerbaijani
азиат|asian;asiatic
азиатка|asian
азиатский|asiatic
азимут|azimuth
азия|asia
азорский остров|azores
азорский|azores
азот|nitrogen
азотистый|nitrous
азотный|nitric
азуса|azusa
аист|stork
ай|oh
айбекс|ibex
айва|quince;quince tree(дерево)
айвовый|quince
айда|go;let's go
айлэнд|island
айни|iny
айова|iowa
айовский яблоня|western crab
айовский|iowa
айсберг|iceberg
академизм|academism
академик|academician
академицизм|academicism
академически|academically
академический одежда|academicals
академический|academic
академия|academy
акание|pronunciation a
акант|acanthus
аканф|acanthus
акапелла|acappela
акаприччио|acapriccio
акапулько|acapulco
акать|pronounce a
акация|acacia
акв|acv
акваланг|aqualung;scuba
аквалангист|frogman;skin diver
аквамарин|aquamarine
аквамариновый|aquamarine
акварелист|watercolorist
акварель|watercolors;watercolor
акварельный|watercolor
аквариум|aquarium
акватинта|aquatint
акватория|area of water
акведук|aqueduct
аквизитор|acquirer
аквитания|aquit
акклиматизация|acclimatization
акклиматизировать|acclimatize
аккомпаниатор|accompanist
аккомпанимент|accompaniment
аккомпанировать|accompany
аккорд|chord
аккордеон|accordion
аккордеонист|accordionist
аккордный работа|piecework
аккордный|chord
аккра|accra
аккредитация организаций|waccreditation of agencies
аккредитация|accreditation
аккредитив|leter of credit
аккредитовать|accredit
аккумулятор|battery;accumulator
аккумуляторный батарея|storage battery
аккумуляторный|storage
аккумуляция|cumulation
аккуратно|neatly;punctually
аккуратность|neatness
аккуратный вид|neat view
аккуратный плательщик|punctual payer
аккуратный|neat
аклинический|aclinic
аконит|aconite;monkshood
акр|acre
акрил|acrylic
акриловый|acrylic
акрилонитрил|acrylonitrile
акробат|acrobat
акробатика|acrobatics
акробатический|acrobatic
акробатка|acrobat
акрон|akron
акроним|acronym
акрополь|acropolis
акростих|acrostic
акселератор|accelerator
аксельбант|aglet
аксессор|accessor
аксессуар|accessory
аксиома|axiom
аксиоматика|axiomatics
аксиоматический|axiomatic
аксон|axon
акт испытаний|test report
акт об испытании|test report
акт осмотра|inspection sertificate
акт передачи|wdeed of conveyance
акт приемки|acceptance report
акт сюрвейера|surveyor report
акт технического осмотра|technical inspection report
акт|act;report(протокол)
актер|actor
актерский|actor's;actors'
актерство|acting(профессия);affected behavior(поведение)
актив и пассив|wassetsandiabilities
актив|asset
активатор|activator;energizer
активация|activation
активизатор|activator
активизация|activation
активизировать|actuate
активизм|activism
активировать|actuate
активист|activist
активно|actively
активность|activity
активный раздел|affected item
активный|active
актилхолинестераза|actylcholinesterase
актиний|actinium
актиничный|actinic
актиния|sea anemone
актовый зал|assembly hall
актовый|assembly
актон|acton
актриса|actress
актуализация|actualization
актуально|currently;timely
актуальность|urgency
актуальный|actual
актуарий|actuary
акула|shark
акупунктура|acupuncture
акустика|acoustics
акустический соединитель|acoustic coupler
акустический|acoustic
акушер|obstetrician
акушерка|midwife
акушерский|obstetric
акушерство|obstetrics;midwifery
акцент|accent
акцентировать|accent;stress
акцепт чека|wacceptance of a check
акцепт|acceptance
акцептант|acceptor
акцептирование|accepting
акцептировать вексель|whonour a bill
акцептировать чек|waccept a cheque
акцептировать|honour
акцептный|acceptance
акцептование|accepting
акцептованный|accepted
акцептор|acceptor
акцепторный|acceptor
акциз|excise;excise duty
акцизный|excise
акционер|shareholder
акционерный банк|joint-stock bank
акционерный капитал|share capital
акционерный общество|join-stock company
акционерный|share;stock
акция возрождения|revival meeting
акция на предъявителя|wshare to bearer
акция от имени получателя|wshare standing in the name of a receiver
акция|share(ценная бумага);action(действие)
ал|al
алабама|alabama
алан|alan
албанец|albanian
албания|albania
албанка|albanian
албанский|albanian
алвин|alvin
алгебра|algebra
алгебраист|algebraist
алгебраически|algebraically
алгебраический|algebraic
алгебраическим путем|algebraically
алгоритм ценообразования|pricing algorithm
алгоритм|algorithm
алгоритмически|algorithmic
алгоритмический язык|programming language
алгоритмический|algorithmic
алдис|aldis
алдус|aldus
алебарда|halberd
алебастр|alabaster
алебастровый|alabaster
алеймеда|alameda
алекс|alex
александр|alexander
александрит|alexandrite
александрия|alexandria
алетевтика|aletheutics
алеть|blush;glow;gleam;turn red
алжир|algiers
алжирец|algerian
алжирка|algerian
алжирский|algerian
алиби|alibi
алиментный|alimony
алименты|alimony
алингтон|alington
алиталиа|alitalia
алитировать|aluminize
алкалоид|alkaloid
алкатель|alcatel
алкать|crave;hunger for
алкаш|drunkard
алко|alco
алкоголизм|alcoholism
алкоголик|alcoholic;drunken bum
алкоголь|alcohol
алкогольный|alcoholic
алкор|alcor
алкоу|alcoa
аллах|allah
аллегорический|allegorical
аллегория|allegory
аллегретто|allegretto
аллегро|allegro
аллен таун|allen town
аллен|allen
аллентаун|allentown
аллергический|allergic
аллергичный|allergic
аллергия|allergy
аллерголог|allergist
аллея|path
аллигатор|alligator
аллилуйя|hallelujah
аллитерация|alliteration
алло|hallo
алломорф|allomorph
алломорфный|allomorph
аллонж|allonge
аллопат|allopath
аллопатия|allopathy
аллосема|alloseme
аллосемный|alloseme
аллофон|allophone
аллофонический|allophone
аллювиальный|alluvial
аллювий|alluvium
алма|alma
алмаз|diamond
алмазный шахта|diamond mine
алмазный|diamond
алмейни|almany
алоэ|aloe(растение);med)aloes(лекарство)
алпа|alpa
алперн|alpern
алта|alta
алтаец|altai
алтай|altai
алтайка|altai
алтайский|altaic
алтарь|altar
алтон|alton
алтос|altos
алтуна|altoona
алтын|altyn
алумакс|alumax
алфавит|alphabet
алфавитный список|alphabetical listing
алфавитный указатель|alphabetical index
