able|способный|['eIbl]|
about|около|[q'baut]|
above|наверху|[q'bAv]|
abroad|за границу|[q'brO:d]|
absence|отсутствие|['xbs(q)ns]|
absent|отсутствующий|['xbsqnt]|
absolute|абсолютный|['xbsqlu:t]|
absolutely|безусловно|['xbsqlu:tlI]|
accept|принимать|[qk'sept]|
accident|несчастный случай|['xksId(q)nt]|
accord|соответствовать|[q'kO:d]|
account|счет|[q'kaunt]|
accountable|ответственный, подотчетный|[q'kauntqbl]|
accuse|обвинять|[q'kju:z]|
accustom|приучать|[q'kAstqm]|
ache|боль|[eIk]|
across|поперек|[q'krOs]|
act|действие|[xkt]|
active|активный|[x'ktIv]|
actor|актер|['xktq]|
actress|актриса|['xktrIs]|
actual|действительный|['xktSuql]|
add|добавлять|[xd]|
address|адрес|[q'dres]|
admire|восхищаться|[qd'maIq]|
admit|допускать|[qd'mIt]|
adopt|усыновлять|[q'dOpt]|
advance|продвигаться|[qd'vQ:ns]|
advantage|преимущество|[qd'vQ:ntIdZ]|
adventure|приключение|[qd'ventSq]|
advertise|рекламировать|['xdvqtaIz]|
advice|совет|[qd'vaIs]|
aeroplane|аэроплан|['FqrqpleIn]|
affair|дело|[q'fFq]|
afford|позволить себе|[q'fO:d]|
afraid|боящийся|[q'freId]|
after|после того как|['a:ftq]|
afternoon|время после полудня|['Q:ftq'nu:n]|
again|снова|[q'gen]|
against|напротив|[q'genst]|
age|возраст|[eIdZ]|
agent|агент|['eIdZqnt]|
ago|тому назад|[q'gqu]|
agree|соглашаться|[q'gri:]|
agriculture|сельское хозяйство|['xgrIkAltSq]|
ahead|вперед|[q'hed]|
aim|цель|[eIm]|
air|воздух|[Fq]|
airplane|самолет|['FqpleIn]|
alike|одинаково|[q'laIk]|
alive|живой|[q'laIv]|
all|все|[O :l]|
allow|позволять|[q'lau]|
almost|почти|['O:lmqust]|
alone|одинокий|[q'lqun]|
along|вдоль по|[q'lON]|
aloud|громко|[q'laud]|
already|уже|[O:l'redI]|
also|также|['O:lsqu]|
alternative|альтернатива|[O:l'tq:nqtIv]|
although|хотя|[O:l'Dqu]|
altogether|вместе|[,O:ltq'geDq]|
always|всегда|['O:lwqz]|
ambition|честолюбие|[xm'bIS(q)n]|
among|среди|[q'mAN]|
amount|величина|[q'maunt]|
amuse|развлекать|[q'mju:z]|
ancient|древний|['eInS(q)nt]|
and|и|[xnd]|
anger|ярость|['xNgq]|
angle|угол|['xNgl]|
animal|животное|['xnImql]|
annoy|досаждать|[q'nOI]|
another|другой|[q'nADq]|
answer|ответ|['Q:nsq]|
anxiety|беспокойство|[xN'zaIqtI]|
any|какой-нибудь|['enI]|
apart|в стороне|[q'pQ:t]|
apologize|извиняться|[q'pOlqdZaIz]|
apology|извинение|[q'pOlqdZI]|
appear|появляться|[q'pIq]|
applaud|аплодировать|[q'plO:d]|
applause|аплодисменты|[q'plO:z]|
apple|яблоко|['xpl]|
apply|использовать|[q'plaI]|
appoint|назначать|[q'pOInt]|
approve|одобрять|[q'pru:v]|
arbitrary|произвольный|['Q:bItrqrI]|
arch|арка|['Q:tS]|
area|площадь, участок|['FqrIq]|
argue|спорить|['Q:gju:]|
arise|возникать|[q'raIz]|
arm|рука|[Q:m]|
army|армия|['Q:mI]|
around|кругом|[q'raund]|
arrange|договариваться|[q'reIndZ]|
arrest|арест|[q'rest]|
arrive|прибывать|[q'raIv]|
arrow|стрела|['xrqu]|
art|искусство|[Q:t]|
article|статья|['Q:tIkl]|
artificial|искусственный|[,Q:tI'fIS(q)l]|
as|в качестве, как|[xz]|
ash|пепел|[xS]|
ashamed|пристыженный|[q'SeImd]|
aside|в сторону|[q'saId]|
ask|спрашивать|[Q:sk]|
asleep|спящий|[q'sli:p]|
associate|коллега|[q'squSIeIt]|
astonish|изумлять|[qs'tOnIS]|
at|у|[xt]|
attack|нападать|[q'txk]|
attempt|пытаться|[q'tempt]|
attend|присутствовать|[q'tend]|
attention|внимание|[q'tenS(q)n]|
attract|притягивать|[q'trxkt]|
audience|аудитория (публика)|['O:djqns]|
aunt|тетя|[Q:nt]|
authority|руководство|[O:'TOrItI]|
autumn|осень|['O:tqm]|
avenue|авеню|['xvInju:]|
average|средний|['xv(q)rIdZ]|
avoid|избегать|[q'vOId]|
awake|проснувшийся|[q'weIk]|
away|удаленный|[q'weI]|
awkward|неуклюжий|['O:kwqd]|
axe|топор|[xks]|
baby|ребенок|['beIbI]|
back|спина, сзади|[bxk]|
bad|плохой|[bxd]|
bag|мешок|[bxg]|
baggage|багаж|['bxgIdZ]|
bake|выпекать|[beIk]|
balance|равновесие|['bxlqns]|
ball|мяч|[bO:l]|
band|лента|[bxnd]|
bank|насыпь, банк|[bxNk]|
bar|брусок|[bQ:]|
barber|мужской парикмахер|['bQ:bq]|
bare|обнаженный|[bFq]|
barely|едва, лишь|['bFqlI]|
bargain|торговая сделка|['bQ:gIn]|
barrel|бочка|['bxrql]|
base|основание|[beIs]|
basin|миска|['beIsn]|
basket|корзина|['bQ:skIt]|
bath|ванна|[bQ:T]|
bathe|купаться|[beID]|
battle|сражение|['bxtl]|
bay|залив|[beI]|
be|быть|[bi:]|
beak|клюв|[bi:k]|
beam|луч|[bi:m]|
bean|фасоль|[bi:n]|
bear|переносить|[bFq]|
beard|борода|[bIqd]|
beast|зверь|[bi:st]|
beat|бить|[bi:t]|
beauty|красота|['bju:tI]|
because|потому что|[bI'kOz]|
become|становиться|[bI'kAm]|
bed|кровать|[bed]|
before|прежде|[bI'fO:]|
beg|просить|[beg]|
begin|начинать|[bI'gIn]|
behave|вести себя|[bI'heIv]|
behaviour|поведение, манеры|[bI'heIvjq]|
behind|сзади|[bI'haInd]|
believe|верить|[bI'li:v]|
bell|колокольчик|[bel]|
belong|принадлежать|[bI'lON]|
below|ниже|[bI'lqu]|
belt|ремень|[belt]|
bend|изгибать|[bend]|
beneath|под|[bI'ni:T]|
berry|ягода|['berI]|
beside|рядом|[bI'saId]|
best|наилучший|[best]|
between|между|[bI'twi:n]|
beyond|за пределами|[bI'jOnd]|
bicycle|велосипед|['baIsIkl]|
big|большой|[bIg]|
bill|счет, клюв|[bIl]|
billion|миллиард|['bIljqn]|
bind|связывать|[baInd]|
bird|птица|[bq:d]|
birth|рождение|[bq:D]|
bit|кусок|[bIt]|
bite|укус|[baIt]|
bitter|горький|['bItq]|
black|черный|[blxk]|
blade|лезвие|[bleId]|
blame|обвинять|[bleIm]|
bless|благословлять|[bles]|
blind|слепой|[blaInd]|
block|блокировать|[blOk]|
blood|кровь|[blAd]|
blow|удар|[blqu]|
blue|голубой, синий|[blu:]|
board|доска|[bO:d]|
boast|хвастаться|[bqust]|
boat|лодка|[bqut]|
body|тело|['bOdI]|
boil|кипятить|[bOIl]|
bold|храбрый|[bquld]|
bone|кость|[bqun]|
book|книга|[buk]|
border|граница|['bO:dq]|
borrow|заимствовать|['bOrqu]|
both|оба|['bquD]|
bottle|бутылка|['bOtl]|
bottom|дно, низ|['bOtqm]|
bound|связанный|[baund]|
boundary|граница|['baundqrI]|
bow|нос|[bau]|
bowl|катить шары|[bqul]|
box|коробка|[bOks]|
boy|мальчик|[bOI]|
brain|мозг|[breIn]|
branch|ветвь|[brQ:ntS]|
brass|латунь|[brQ:s]|
brave|храбрый|[breIv]|
bread|хлеб|[bred]|
break|ломать|[breIk]|
breakfast|завтрак|['brekfqst]|
breath|дыхание|[breT]|
breathe|дышать|[bri:D]|
bribe|взятка|[braIb]|
brick|кирпич|[brIk]|
bridge|мост|[brIdZ]|
bright|яркий|[braIt]|
bring|приносить|[brIN]|
broad|широкий|[brO:d]|
broadcast|радиовещание|['brO:dkQ:st]|
brother|брат|['brADq]|
brown|коричневый|[braun]|
brush|щетка|[brAS]|
bucket|ведро|['bAkIt]|
build|строить|[bIld]|
bunch|связка, пучок|[bAnt]|
bundle|пучок|['bAndl]|
burial|похороны|['berIql]|
burn|ожёг|[bq:n]|
burst|взрыв|[bq:st]|
bury|хоронить|['berI]|
bus|автобус|[bAs]|
bush|куст|[buS]|
business|дело|['bIzInIs]|
busy|занятый|['bIzI]|
but|но, однако|[bAt]|
butter|масло|['bAtq]|
button|пуговица, кнопка|['bAtn]|
buy|покупать|[baI]|
by|рядом|[baI]|
cage|помещать в клетку, клетка|[keIdZ]|
cake|торт|[keIk]|
calculate|вычислять|['kxlkjuleIt]|
call|вызов|[kO:l]|
calm|спокойный|[kQ:m]|
camera|фотоаппарат|['kxm(q)rq]|
camp|лагерь|[kxmp]|
can|мочь|[kxn]|
canal|канал|[kq'nxl]|
cap|кепка|['kxp]|
capacity|емкость|[kq'pxsItI]|
cape|мыс|[keIp]|
capital|столица, капитал|['kxpItl]|
captain|капитан|['kxptIn]|
car|автомобиль|[kQ:]|
card|карта|[kQ:d]|
care|забота|[kFq]|
carriage|вагон, экипаж|['kxrIdZ]|
carry|носить|['kxrI]|
cart|телега|[kQ:t]|
case|случай|[keIs]|
castle|ЗАМОК|['kQ:sl]|
cat|кошка|[kxt]|
catch|поймать|[kxtS]|
cattle|скот|['kxtl]|
cause|причина|[kO:z]|
caution|осторожность|['kO:Sqn]|
cave|пещера|[keIv]|
cent|цент|[sent]|
centimetre|сантиметр|['sentI,mi:tq]|
centre|центровой игрок|['sentq]|
century|век|['sentSurI]|
ceremony|церемония|['serImqnI]|
certain|точный|['sq:tn]|
chain|цепь|[tSeIn]|
chair|стул|[tSFq]|
chalk|мел|[tSO:k]|
chance|случай|[tSQ:ns]|
change|изменение|[tSeIndZ]|
character|характер|['kxrIktq]|
charge|загрузка|[tSQ:dZ]|
charm|обаяние|[tSQ:m]|
cheap|дешевый|[tSi:p]|
cheat|мошенничать|[tSi:t]|
check|проверять|[tSek]|
cheer|ободрение|[tSIq]|
cheese|сыр|[tSi:z]|
chemical|химический|['kemIk(q)l]|
cheque|чек|[tSek]|
chest|ящик, грудь|[tSest]|
chicken|цыпленок|['tSIkIn]|
chief|ведущий|[tSi:f]|
child|ребенок|[tSaIld]|
chimney|дымоход|['tSImnI]|
choose|выбирать|[tSu:z]|
Christmas|Рождество|['krIsmqs]|
church|церковь|[tSq:tS]|
circle|круг|['sq:kl]|
city|город|['sItI]|
civilise|воспитать|['sIvIlaIz]|
claim|требование|[kleIm]|
class|класс|[klQ:s]|
clay|глина|[kleI]|
clean|чистый|[kli:n]|
clear|ясный|[klIq]|
clerk|клерк|[klQ:k]|
clever|сообразительный|['klevq]|
cliff|стена|[klIf]|
climb|карабкаться|[klaIm]|
clock|часы|[klOk]|
close|закрывать|[klqus]|
cloth|ткань|[klOT]|
cloud|облако|[klaud]|
club|клуб|[klAb]|
coal|уголь|['kqul]|
coarse|грубый|[kO:s]|
coast|побережье|[kqust]|
coat|пальто|[kqut]|
code|кодировать|[kqud]|
coffee|кофе|['kOfI]|
coin|монета|[kOIn]|
cold|холодный|[kquld]|
collar|воротник|['kOlq]|
collect|собирать|[kq'lekt]|
college|колледж|['kOlIdZ]|
colony|колония|['kOlqnI]|
colour|цвет|['kAlq]|
comb|расчёска|[kqum]|
combine|объединение|['kOmbaIn]|
come|приходить|[kAm]|
comfort|комфорт|['kAmfqt]|
command|командовать|[kq'mQ:nd]|
commerce|коммерция|['kOmq(:)s]|
committee|комитет|[kq'mItI]|
common|общий|['kOmqn]|
companion|компаньон|[kqm'pxnjqn]|
company|компания|['kAmpqnI]|
compare|сравнивать|[kqm'pFq]|
compete|соревноваться|[kqm'pi:t]|
competition|соревнование|[,kOmpI'tISqn]|
complain|жаловаться|[kqm'pleIn]|
complete|полный|[kqm'pli:t]|
complicate|усложнять|['kOmplIkeIt]|
compose|составлять|[kqm'pquz]|
concern|иметь отношение|[kqn'sq:n]|
condition|условие|[kqn'dISqn]|
confess|признаваться|[kqn'fes]|
confidence|доверие|['kOnfIdqns]|
confuse|сбивать с толку|[kqn'fju:z]|
congratulate|поздравлять|[kqn'grxtjuleIt]|
connect|соединять|[kq'nekt]|
conquer|завоевывать|['kONkq]|
conscience|совесть|['kOnSqns]|
conscious|сознающий|['kOnSqs]|
consider|рассматривать|[kqn'sIdq]|
constant|постоянный|['kOnst(q)nt]|
contain|вмещать|[kqn'teIn]|
content|довольствоваться|['kOntent]|
continue|продолжать|[kqn'tInju(:)]|
control|надзор|[kqn'trqul]|
convenience|удобство|[kqn'vi:njqns]|
conversation|разговор|[,kOnvq'seISqn]|
cook|повар|[kuk]|
cool|прохладный|[ku:l]|
copper|медь|['kOpq]|
copy|копия|['kOpI]|
cork|пробка|[kO:k]|
corn|кукуруза|[kO:n]|
corner|угол|['kO:nq]|
correct|правильный|[kq'rekt]|
cost|цена|[kOst]|
cottage|коттедж|['kOtIdZ]|
cotton|хлопок|['kOtn]|
cough|кашель|[kOf]|
could|мог|[kud]|
council|совет|['kaunsl]|
count|счет|[kaunt]|
country|страна|['kAntrI]|
courage|мужество|['kArIdZ]|
course|курс|[kO:s]|
court|двор, корт|[kO:t]|
cousin|двоюродный брат|['kAzn]|
cover|крышка|['kAvq]|
cow|корова|[kau]|
coward|трус|['kauqd]|
crack|треск|[krxk]|
crash|грохот|[krxS]|
cream|сливки|[kri:m]|
creature|живое существо|['kri:tSq]|
creep|ползать|[kri:p]|
crime|преступление|[kraIm]|
criminal|преступный|['krImInl]|
critic|критик|['krItIk]|
crop|урожай|[krOp]|
cross|крест|[krOs]|
crowd|толпа|[kraud]|
crown|темя|[kraun]|
cruel|жестокий|[kruql]|
crush|дробление|[krAS]|
cry|крик|[kraI]|
cultivate|обрабатывать|['kAltIveIt]|
cup|чашка|[kAp]|
cure|излечивать|[kjuq]|
curious|любознательный|['kjuqrIqs]|
curl|локон|[kq:l]|
current|течение|['kAr(q)nt]|
curse|проклятие|[kq:s]|
curtain|занавес|['kq:tn]|
curve|кривая|[kq:v]|
cushion|подушка|['kuSqn]|
custom|обычай|['kAstqm]|
customer|потребитель|['kAstqmq]|
cut|отрезанный|[kAt]|
damage|повреждение|['dxmIdZ]|
damp|сырой|[dxmp]|
dance|танец|[dQ:ns]|
danger|опасность|['deIndZq]|
dare|сметь|[dFq]|
dark|темный|[dQ:k]|
date|дата|[deIt]|
daughter|дочь|['dO:tq]|
day|день|[deI]|
dead|мертвый|[ded]|
deaf|глухой|[def]|
deal|иметь дело|[di:l]|
dear|дорогой, милый|[dIq]|
debt|долг|[det]|
decay|загнивание|[dI'keI]|
deceive|обманывать|[dI'si:v]|
decide|решать|[dI'saId]|
declare|объявлять|[dI'klFq]|
decrease|уменьшать|['di:kri:s]|
deed|действие|[di:d]|
deep|глубокий|[di:p]|
deer|олень|[dIq]|
defeat|поражение|[dI'fi:t]|
defend|обороняться|[dI'fend]|
degree|степень|[dI'gri:]|
delay|задержка|[dI'leI]|
delicate|вежливый|['delIkIt]|
delight|удовольствие|[dI'laIt]|
deliver|доставлять|[dI'lIvq]|
demand|требование|[dI'ma:nd]|
department|отдел|[dI'pa:tmqnt]|
depend|зависеть|[dI'pend]|
descend|спускаться|[dI'send]|
describe|описывать|[dIs'kraIb]|
desert|пустыня|[dI'zq:t]|
deserve|заслуживать|[dI'zq:v]|
desire|жажда, страсть|[dI'zaIq]|
desk|рабочий стол|[desk]|
despair|отчаяние|[dIs'pFq]|
destroy|разрушать|[dIs'trOI]|
detail|подробность|['di:teIl]|
determine|определять|[dI'tq:mIn]|
develop|развивать|[dI'velqp]|
devil|дьявол|['devl]|
diamond|алмаз|['daIqmqnd]|
dictionary|словарь|['dIkSqnrI]|
die|умирать|[daI]|
difference|различие|['dIfrqns]|
difficult|трудный|['dIfIkqlt]|
dig|копать|[dIg]|
dinner|обед|['dInq]|
dip|окунать|[dIp]|
direct|прямой|[dI'rekt]|
dirt|грязь|[dq:t]|
disappoint|разочаровывать|[,dIsq'pOInt]|
discipline|дисциплина|['dIsIplIn]|
discover|делать открытия|[dIs'kAvq]|
discuss|обсуждать|[dIs'kAs]|
disease|болезнь|[dI'zi:z]|
disgust|отвращение|[dIs'gAst]|
dish|блюдо|[dIS]|
dismiss|распускать|[dIs'mIs]|
distance|расстояние|['dIstqns]|
distinguish|различать|[dIs'tINgwIS]|
district|район|['dIstrIkt]|
disturb|беспокоить|[dIs'tq:b]|
ditch|канава|[dItS]|
dive|нырять|[daIv]|
divide|делить|[dI'vaId]|
do|делать|[du:]|
doctor|врач|['dOktq]|
dog|собака|[dOg]|
dollar|доллар|['dOlq]|
donkey|осел|['dONkI]|
door|дверь|[dO:]|
dot|усеянный|[dOt]|
double|двойной|['dAbl]|
doubt|сомнение|[daut]|
down|вниз|[daun]|
dozen|дюжина|['dAzn]|
drag|землечерпалка|[drxg]|
draw|чертить|[drO:]|
drawer|ящик стола|[drO:q]|
dream|видеть сны|[dri:m]|
dress|платье|[dres]|
drink|питьё|[drINk]|
drive|ехать|[draIv]|
drop|капля|[drOp]|
drown|тонуть|[draun]|
drum|барабан|[drAm]|
dry|сухой|[draI]|
duck|утка|[dAk]|
due|должный|[dju:]|
dull|скучный|[dAl]|
during|в течение|['djuqrIN]|
dust|пыль|[dAst]|
duty|обязанность, долг|['dZu:tI]|
each|каждый, всякий|[i:tS]|
eager|сильно желающий|['i:gq]|
ear|ухо|[Iq]|
early|ранний|['q:lI]|
earn|зарабатывать|[q:n]|
earnest|серьезный|['q:nIst]|
earth|земля|[q:T]|
ease|облегчать|[i:z]|
east|восток|[i:st]|
easy|легкий|['i:zI]|
eat|есть|[i:t]|
economy|экономика|[I(:)'kOnqmI]|
edge|край|[edZ]|
educate|просвещать|['edju(:)keIt]|
effect|эффект|[I'fect]|
efficient|производительный|[I'fISqnt]|
effort|усилие|['efqt]|
egg|яйцо|[eg]|
eight|восемь|[eIt]|
either|один из двух|['aIDq]|
elastic|резиновый|[I'lxstIk]|
elder|старший|['eldq]|
elect|выбирать|[I'lekt]|
electric|электрический|[I'lektrIk]|
elephant|слон|['elIfqnt]|
eleven|одиннадцать|[I'levn]|
else|еще|[els]|
Empire|империя|['empaIrq]|
employ|работа по найму|[Im'plOI]|
empty|пустой|['emptI]|
enclose|вкладывать|[In'klquz]|
encourage|ободрять|[In'kArIdZ]|
end|конец|[end]|
enemy|враг|['enImI]|
engine|двигатель|['endZIn]|
English|английский|['INglIS]|
enjoy|наслаждаться|[In'dZOI]|
enough|достаточно|[I'nAf]|
enter|входить|['entq]|
entertain|развлекать|[,entq'teIn]|
entire|целый|[In'taIq]|
envelope|конверт|['envqlqup]|
environment|окружающая обстановка|[In'vaIqr(q)nmqnt]|
envy|завидовать|['envI]|
equal|равный|['i:kw(q)l]|
error|ошибка|['erq]|
escape|бегство|[Is'keIp]|
especial|особенный|[Is'peSql]|
essence|сущность|['esns]|
essential|существенный|[I'senSql]|
even|даже|['i:v(q)n]|
evening|вечер|['i:vnIN]|
event|событие|[I'vent]|
ever|всегда|['evq]|
every|каждый|['evrI]|
evil|зло|['i:vl]|
exact|точный|[Ig'zxkt]|
examining|контрольный|[eg'zxmInIN]|
example|пример|[Ig'zQ:mpl]|
excellent|превосходный|['eksqlqnt]|
except|исключать|[Ik'sept]|
excess|избыток|[Ik'ses]|
exchange|обмен|[Iks'tSeIndZ]|
excite|возбуждать|[Ik'saIt]|
excuse|извинять|[Iks'kju:s]|
exercise|упражнение|['eksqsaIz]|
exist|существовать|[Ig'zIst]|
expect|ожидать|[Iks'pekt]|
expense|затрата|[Iks'pens]|
experience|опыт|[Iks'pIqrIqns]|
experiment|эксперимент|[Iks'perImqnt]|
explain|объяснять|[Iks'pleIn]|
explode|взрываться|[Iks'plqud]|
explore|исследовать|[Iks'plO:]|
express|выражать|[Iks'pres]|
extend|простирать|[Iks'tend]|
extra|дополнительный|['ekstrq-]|
extraordinary|необычайный|[Iks'trO:dnrI]|
extreme|крайность|[Iks'tri:m]|
eye|глаз|[aI]|
face|лицо|[feIs]|
fact|действительность|[fxkt]|
factor|фактор, коэффициент|['fxktq]|
factory|завод|['fxktqrI]|
fade|увядать|[feId]|
fail|потерпеть неудачу|[feIl]|
faint|обморок|[feInt]|
fair|ярмарка, честный|[fFq]|
faith|вера|[feIT]|
fall|падение|[fO:l]|
false|ложный|[fO:ls]|
