African|африканец, африканский|'xfrIkqn
American|американец, американский|q'merIkqn
April|апрель|'eIpr(q)l
Arab|араб|'xrqb
Atlantic|атлантический|qt'lxntIk
August|август|O:'gAst
Australian|австралийский|O'streIlIqn
BBC|Британская радиовещательная корпорация|
BMA|Британская медицинская ассоциация|
British|британский|'brItIS
Buddhist|буддист|
Catholic|католик|'kxTqlIk
Chinese|китаец, китайский|'tSaI'ni:z
Christian|христианин|'krIstSqn
Christmas|рождество|'krIsmqs
December|декабрь|dI'sembq
Duke|герцог|dju:k
English|английский|'INglIS
Ethiopian|эфиоп, эфиопский|,i:TI'qupjqn
European|европейский|,juqrq'pIqn
February|февраль|'februqrI
Friday|пятница|'fraIdI
German|немец, немецкий|'dZq:mqn
Greek|греческий|gri:k
I|я|aI
IRA (Irish Republican Army)|Ирландская республиканская армия|
Irish|ирландский|'aIqrIS
January|январь|'dZxnjuqrI
Jewish|еврейский|'dZu:IS
July|июль|dZu(:)'laI
June|июнь|dZu:n
Lord|лорд|lO:d
MP|член парламента (от Member of Parliament)|
March|март|mQ:tS
May|май|meI
Miss|мисс|mIs
Miss (Ms.)|мисс, девушка|
Missis (Mrs.)|миссис, госпожа|
Mister (Mr.)|мистер, господин|
Monday|понедельник|'mAndI
National Leberation Front|Национальный фронт освобождения|
Navy|морской флот|'neIvI
Nazi|нацист|'nQ:tsI
North|север|nO:T
November|ноябрь|nqu'vembq
October|октябрь|Ok'tqubq
Olympic|олимпийский|qu'lImpIk
Pope|Папа Римский|pqup
Portuguese|португальский|,pO:tju'gi:z
Queen|королева|kwi:n
Russian|русский, русский язык|'rASn
Saturday|суббота|'sxtqdI
Scottish|шотландский|'skOtIS
September|сентябрь|sqp'tembq
South|юг|sauT
Spanish|испанский|'spxnIS
Sunday|воскресенье|'sAndI
TV|телевидение|
Thursday|четверг|'Tq:zdI
Tory|тори, консерватор|'tO:rI
Tuesday|вторник|'tju:zdI
Turkish|турецкий|'tq:kIS
University|университет|,ju:nI'vq:sItI
Vietnamese|вьетнамец|
Wednesday|среда|'wenzdI
West|запад|west
a|неопределенный артикль, один|eI
abandon|отказываться, покидать, прекращать|q'bxndqn
ability|способность|q'bIlItI
able|умелый|'eIbl
aboard|на борту|q'bO:d
abolition|отмена|,xbqu'lIS(q)n
abortion|аборт, неудача|q'bO:S(q)n
about|вокруг, кругом, около,  приблизительно|q'baut
above|над, выше, более, наверх|q'bAv
abroad|за границей|q'brO:d
absence|отсутствие|'xbsqns
absolute|полный, абсолютный|'xbsqlu:t
absolutely|абсолютно, совершенно|'xbsqlu:tlI
academy|академия|q'kxdqmI
accept|принимать, допускать|qk'sept
acceptance|принятие, признание|qk'septqns
access|доступ|'xkses
accident|несчастный случай|'xksIdqnt
accommodation|удобство, согласование|q,kOmq'deIS(q)n
accompany|сопровождать|q'kAmpqnI
according|соответственно, в соответствии|q'kO:dIN
account|отчет, мнение, основание, объяснять|q'kaunt
accurate|точный, правильный|'xkjurIt
accuse|обвинять|q'kju:z
achieve|достигать|q'tSi:v
achievement|достижение|q'tSi:vmqnt
acknowledge|признавать, выражать благодарность|qk'nOlIdZ
acquire|приобретать|q'kwaIq
across|через, по ту сторону|q'krOs
act|действие, поступок, действовать, исполнять|xkt
action|действие, деятельность|'xkS(q)n
active|активный, действующий|'xktIv
activity|деятельность, действия|xk'tIvItI
actor|актер, деятель|'xktq
